Date;Cherouq;Bir  Ben Tartar;Dorra;Echouech;Sanhar;Ch.Essaida;Jbel Grouz;M.L.D;Ouedzar;El borma;Adam;Anakid Est;Jinene;Total
1990;;;;;;;;268,4;0;2411,5;0;;;2679,90
1991;;;;;;;;259;0;2220,8;0;;;2479,80
1992;;;;;;;;273,1;0;2165,7;0;;;2438,80
1993;;;;;;;;253,2;0;1829,5;0;;;2082,70
1994;;;;;;;;284,6;0;1686,3;0;;;1970,90
1995;;;;;;;;219,6;0;1533,2;0;;;1752,80
1996;;;;;;;;133,3;8,4;1392,1;0;;;1533,80
1997;;;;;;;;68,2;36,3;1228,9;0;;;1333,40
1998;;;;;;;;68,9;129,1;1100,8;0;;;1298,80
1999;;;;;;;;70;245,7;995,9;0;;;1311,60
2000;;;;;;;;76;241,4;825,5;0;;;1142,90
2001;;;;;;;;76;329,3;758,7;0;;;1164,00
2002;;;;;;;;62,1;298,5;683,3;0;;;1043,90
2003;;;;;;;;58,2;239,1;615,7;113,8;;;1026,80
2004;;;;;;;;54,8;221;580;452;;;1307,80
2005;;;;;;;;44,3;211;520;763;;;1538,30
2006;0;0;0;0;2,7;9;21,5;67;193;469,1;794,9;0;0;1557,20
2007;4,1;0;0;0;4,1;32;12,7;121;196;439,1;953,5;0;0;1762,50
2008;327,2;0;0;1;3,9;38,3;17,7;93,5;241,7;435,1;820,8;0;0;1979,20
2009;435,8;7,5;0;4,1;5,1;41,9;21,9;118,2;309,5;437,7;606,7;0;0;1988,40
2010;328,6;5,6;0;4;4,2;59,3;38,7;81,7;308,1;418,1;444,6;0;0;1692,90
2011;320,1;51,4;23,2;4,9;3,8;43,2;32,8;84,6;220,1;353,6;352,1;0;0;1489,80
2012;319;136,9;30,3;3,7;3,5;36,9;22,1;112,7;200,2;333,8;324,5;58,1;2,6;1584,30
2013;185,1;121,4;21,2;3,7;1,4;34,3;10,6;80,4;167,7;326,5;287,3;122,3;0;1361,90
2014;178,4;111,7;22,1;3,3;3,4;31,1;9,1;70,6;115,1;292,8;264,7;152,9;0;1255,20
2015;147,6;80,5;1,1;0,4;3,3;28;12;56,8;94,6;286;212,2;58,7;0;981,2
2016;120,2;51,9;0;0,1;0,3;19;11,3;62,8;97,6;262,2;194,3;62,6;0;882,3
2017;92,3;40,2;17,6;0;0;0,7;10,7;74,7;64,8;238,7;131,8;57,2;0;728,7
2018;101,823;41,564;17,108;0;0;0;19,297;104,39;64,983;269,94;112,054;52,363;1,043;784,565
2019;104,055;27,805;20,901;0,813;0;4,832;14,387;96,433;55,828;237,11;136,321;33,242;10,388;742,115
