Date;Sabria;D Sondes;Gherib;Franig/Bag/Tarfa;Total;;
1990;;;;;0,00;;
1991;;;;;0,00;;
1992;;;;;0,00;;
1993;;;;;0,00;;
1994;;;;;0,00;;
1995;;;;;0,00;;
1996;;;;;0,00;;
1997;;;;;0,00;;
1998;;;;;0,00;;
1999;;;;;0,00;;
2000;;;;;0,00;;
2001;;;;;0,00;;
2002;;;;;0,00;;
2003;;;;;0,00;;
2004;;;;;0,00;;
2005;;;;;0,00;;
2006;20,90;;;116,60;137,50;;
2007;32,40;;;93,00;125,40;;
2008;32,20;;;84,70;116,90;;
2009;23,70;;;110,60;134,30;;
2010;18,70;;;75,40;94,10;;
2011;14,70;;;42,20;56,90;;
2012;15,00;;;35,70;50,70;;
2013;18,20;;;25,40;43,60;;
2014;23,20;;;25,50;48,70;;
2015;42,50;;;134,70;177,20;;
2016;47,80;0,00;0,00;110,80;158,60;;
2017;27,80;1,50;12,10;51,90;93,30;;
2018;26,62;2,65;72,83;52,36;154,45;;
2019;23,52;9,72;56,55;49,94;139,72;;
