Date;Hasdrubal;El Borma;Adam;Cherouq;Ashtart;Oued Zar;Elhajeb Guebiba;Bir ben Tar Tar;Miskar;M.L.D;Didon;Baraka;Cercina;Anaguid Est;Maamoura;Ch.Essaida;Sidi Litayem;Sidi el kilani;El Franig/Baguel/Tarfa;Dorra;Gremda/El Ain;Ezzaouia;Rhemoura;Jebel Grouz;D.S.T;Sabria;Chergui;Oudna;Robbana;El Bibane;Echouech;Sanhar;Jinene;Mozrane;Beni khalled;Gherib;D Sondes;Sidi Behara;Zinnia;Mahres;Ennakhil;Abir;El Menzeh;Isis;Nawara;Bouchra;Abir;Halk el Manzel;Sidi marzoug;Chalbia;Banefsej Sud;Total( Kt)
1990;0,0;2411.5;0,0;;1306.706;0,0;33.338;;0,0;268.44;0,0;;0,0;;;;;93.733;;;79.764;0,0;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;4193.481
1991;0,0;2220.8;0,0;;1242.459;0,0;22.128;;0,0;258.998;0,0;;0,0;;;;;35.558;;;52.475;1061.718;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;4894.136
1992;0,0;2165.7;0,0;;1135.777;0,0;25.899;;0,0;273.055;0,0;;0,0;;;;;30.049;;;76.624;660.051;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;4367.155
1993;0,0;1829.5;0,0;;1069.974;0,0;10.027;;0,0;253.161;0,0;;0,0;;;;;266.199;;;97.172;334.014;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3860.047
1994;0,0;1686.3;0,0;;996.7;0,0;12.243;;0,0;284.622;0,0;;97.58;;;;;529.685;;;80.498;226.749;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3914.377
1995;0,0;1533.2;0,0;;922.645;0,0;9.972;;0,0;219.602;0,0;;157.398;;;;;758.255;;;51.87;206.123;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3859.065
1996;0,0;1392.1;0,0;;961.783;8.375;10.286;;90.85;133.335;0,0;;114.276;;;;;858.146;;;60.399;225.75;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3855.3
1997;0,0;1228.9;0,0;;915.691;36.273;9.597;;182.297;68.181;0,0;;107.245;;;;;720.923;;;48.743;190.784;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3508.634
1998;0,0;1100.8;0,0;;887.612;129.132;44.392;;190.626;68.852;102.441;;120.346;;;;;704.507;;;46.834;143.439;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3538.981
1999;0,0;995.9;0,0;;842.422;245.678;49.21;;202.377;70.013;210.41;;115.72;;;;;662.928;;;46.558;118.821;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3560.037
2000;0,0;825.5;0,0;;739.4;241.4;42.496;;206.9;76.007;285.7;;119.8;;;;;595.7;;;42.723;107.517;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;3283.143
2001;0,0;758.7;0,0;;681.1;329.3;42.6;;218.4;76,0;267.5;;110.9;;;;;360.5;;;41.2;79.4;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;2965.6
2002;0,0;683.3;0,0;;669.2;298.5;92.6;;209.4;62.1;357.3;;96.6;;;;;165.9;;;37.8;64.9;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;2737.6
2003;0,0;615.7;113.8;;644,0;239.1;94.9;;214,0;58.2;244.3;;101.3;;;;;123.3;;;25,0;54.9;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;2528.5
2004;0,0;580,0;452,0;;577,0;221,0;103,0;;221,0;54.8;294,0;;106,0;;;;;120,0;;;25,0;64,0;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;2817.8
2005;0,0;520,0;763,0;;530,0;211,0;142,0;;229,0;44.3;213,0;;107.2;;;;;91,0;;;50.5;69.4;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;2970.4
