Date;Production à partir du GN. en GWh;Production à partir du Fuel. en GWh;Production à partir du Gasoil. en GWh;Production totale . en GWh
1 / 2005;868.54;68.28;0.93;937.75
2 / 2005;890.53;;0.22;890.75
3 / 2005;906.62;;0.08;906.7
4 / 2005;850.2;;0.06;850.26
5 / 2005;954.13;;0.13;954.26
6 / 2005;1034.47;;0.01;1034.48
7 / 2005;1171.89;43.7;0.66;1216.25
8 / 2005;1163.32;2.14;0.94;1166.4
9 / 2005;1039.81;1.34;0.88;1042.03
10 / 2005;975.11;0.71;0.08;975.9
11 / 2005;885.75;;0.06;885.81
12 / 2005;939.53;79.3;0.13;1018.96
1 / 2006;933.15;70.89;0.03;1004.07
2 / 2006;876.94;;;876.94
3 / 2006;939.28;;0.13;939.41
4 / 2006;889.93;28.05;0.14;918.12
5 / 2006;959.71;35.3;;995.01
6 / 2006;998.09;89.04;0.03;1087.16
7 / 2006;1055.91;216.52;0.03;1272.46
8 / 2006;1000.68;227.35;0.15;1228.18
9 / 2006;1050.19;30.18;0.04;1080.41
10 / 2006;984.2;27.36;;1011.56
11 / 2006;837.95;125.04;0.01;963
12 / 2006;893.08;96.77;0.01;989.86
1 / 2007;903.36;124.31;0.01;1027.68
2 / 2007;790.19;142.95;0.01;933.15
3 / 2007;901.96;84.22;;986.18
4 / 2007;945.8;0.01;-0.01;945.8
5 / 2007;935.86;74.64;0.02;1010.52
6 / 2007;1064.03;94.18;0.02;1158.23
7 / 2007;1148.9;166.84;0.02;1315.76
8 / 2007;1231.9;92.78;0.07;1324.75
9 / 2007;1016.77;145.7;0.04;1162.51
10 / 2007;890.86;155.06;0.07;1045.99
11 / 2007;852.03;162.93;0.04;1015
12 / 2007;925.17;147.82;0.05;1073.04
1 / 2008;985.61;100.95;0.07;1086.63
2 / 2008;977.28;43.84;0.06;1021.18
3 / 2008;1013.59;15.23;0.05;1028.87
4 / 2008;857.21;153.61;0.05;1010.87
5 / 2008;1057.56;8.67;0.06;1066.29
6 / 2008;1160.76;34.61;0.03;1195.4
7 / 2008;1415.81;5.5;0.04;1421.35
8 / 2008;1398.34;1.65;0.08;1400.07
