Year;Production phosphate;;
1900;0,2;;
1901;0,2;;
1902;0,3;;
1903;0,4;;
1904;0,5;;
1905;0,6;;
1906;0,85;;
1907;1;;
1908;1,3;;
1909;1,3;;
1910;1,35;;
1911;1,6;;
1912;1,9;;
1913;2;;
1914;1,4;;
1915;1,1;;
1916;1;;
1917;0,95;;
1918;0,9;;
1919;1,1;;
1920;1,4;;
1921;1,5;;
1922;2,1;;
1923;2,3;;
1924;2,8;;
1925;2,6;;
1926;2,55;;
1927;3,1;;
1928;2,7;;
1929;2,5;;
1930;3,4;;
1931;2,3;;
1932;1,7;;
1933;1,8;;
1934;1,7;;
1935;1,5;;
1936;1,5;;
1937;1,7;;
1938;2;;
1939;1,5;;
1940;1,2;;
1941;1,1;;
1942;0,9;;
1943;0,4;;
1944;0,5;;
1945;0,6;;
1946;1,4;;
1947;1,7;;
1948;1,9;;
1949;1,5;;
1950;1,6;;
1951;1,7;;
1952;2,3;;
1953;1,7;;
1954;1,8;;
1955;2,2;;
1956;2,1;;
1957;2,1;;
1958;2,3;;
1959;2,2;;
1960;2,1;;
1961;2;;
1962;2,1;;
1963;2,4;;
1964;2,7;;
1965;3;;
1966;3,2;;
1967;2,9;;
1968;3,5;;
1969;2,7;;
1970;3;;
1971;3,1;;
1972;3,4;;
1973;3,7;;
1974;3,7;;
1975;3,5;;
1976;3,3;;
1977;3,3;;
1978;3,7;;
1979;4;;
1980;4,5;;
1981;4,9;;
1982;4,7;;
1983;5,7;;
1984;5,4;;
1985;4,5;;
1986;5,8;;
1987;6,3;;
1988;6;;
1989;6,6;;
1990;6,3;;
1991;6,4;;
1992;6,3;;
1993;5,5;;
1994;5,6;;
1995;6,5;;
1996;7,2;;
1997;7,6;;
1998;7,8;;
1999;8,03;;
2000;8,3;;
2001;8,141;;
2002;7,622;;
2003;7,531;;
2004;7,288;;
2005;8,204;;
2006;7,812;;
2007;8,005;;
2008;7,623;;
2009;7,398;;
2010;8,131;;
2011;2,281;;
2012;2,605;;
2013;3,074;;
2014;3,545;;
2015;3,002;;
2016;3,664;;
2017;3,949;;
2018;2,803;;
2019;3,850;;
2020;3,144;;
