Date;Région Tataouine;Région Sfax;Région Kébili;Région Nebeul;Total ( ktep-pci);Year;Month
2010-01;28,98;172,62;24,57;0,00;226,17;2010;janv
2010-02;21,11;173,16;24,88;1,44;220,59;2010;fev
2010-03;27,92;195,12;25,54;1,62;250,20;2010;mars
2010-04;27,16;181,8;28,10;0,90;237,96;2010;avril
2010-05;30,17;167,49;26,44;0,00;224,10;2010;mai
2010-06;28,27;183,51;27,89;1,26;240,93;2010;juin
2010-07;28,69;189,81;30,35;2,70;251,55;2010;juill
2010-08;29,37;185,13;30,66;5,85;251,01;2010;aout
2010-09;28,08;173,61;29,16;7,20;238,05;2010;sept
2010-10;28,89;132,21;29,07;6,93;197,10;2010;oct
2010-11;29,34;125,37;24,93;8,01;187,65;2010;nov
2010-12;30,72;139,68;25,11;7,02;202,53;2010;dec
2011-01;30,60;131,22;24,75;8,19;194,76;2011;janv
2011-02;27,45;111,6;21,69;8,73;169,47;2011;fev
2011-03;30,78;160,02;21,15;10,62;222,57;2011;mars
2011-04;29,43;177,75;9,63;9,63;226,44;2011;avril
2011-05;28,98;187,7684836;1,26;9,09;227,10;2011;mai
2011-06;27,63;183,3915164;6,21;9,54;226,77;2011;juin
2011-07;28,80;202,05;23,22;8,55;262,62;2011;juill
2011-08;28,83;198,18;23,22;7,92;258,15;2011;aout
2011-09;27,69;182,07;12,69;7,29;229,74;2011;sept
2011-10;26,82;176,67;19,17;6,21;228,87;2011;oct
2011-11;28,26;116,46;21,15;7,38;173,25;2011;nov
2011-12;26,27;119,313;21,60;8,37;175,56;2011;dec
2012-01;30,87;119,52;19,98;6,93;177,30;2012;janv
2012-02;30,51;162,63;18,00;5,13;216,27;2012;fev
2012-03;30,51;133,884;20,45;3,92;188,77;2012;mars
2012-04;25,20;138,186;17,74;7,15;188,27;2012;avril
2012-05;26,37;177,03;16,33;6,84;226,57;2012;mai
2012-06;25,29;178,47;16,10;5,49;225,35;2012;juin
2012-07;26,91;181,35;16,00;4,32;228,58;2012;juill
2012-08;27,63;154,62;11,48;9,02;202,75;2012;aout
2012-09;26,55;161,91;14,85;7,34;210,65;2012;sept
2012-10;28,17;165,6;21,19;1,55;216,50;2012;oct
2012-11;27,59;163,6;14,80;6,20;212,19;2012;nov
2012-12;29,21;173,99;12,77;5,77;221,73;2012;dec
2013-01;29,84;166,4073;12,97;5,00;214,22;2013;janv
2013-02;27,67;143,2827;13,08;4,18;188,21;2013;fev
2013-03;29,07;171,108;13,76;4,70;218,64;2013;mars
2013-04;27,85;176,823;12,88;4,33;221,88;2013;avril
2013-05;28,13;178,344;12,49;4,17;223,13;2013;mai
2013-06;26,43;144,369;12,72;3,81;187,33;2013;juin
2013-07;27,16;173,088;12,77;3,62;216,64;2013;juill
2013-08;28,53;178,875;12,90;3,77;224,07;2013;aout
2013-09;28,16;164,268315;13,05;3,73;209,21;2013;sept
2013-10;28,86;172,826685;13,36;3,28;218,32;2013;oct
2013-11;28,58;138,519;13,01;2,07;182,18;2013;nov
2013-12;30,20;160,146;13,51;2,54;206,39;2013;dec
2014-01;30,63;162,67;13,09;2,91;209,29;2014;janv
2014-02;28,01;150,64;11,64;3,69;193,97;2014;fev
2014-03;30,81;154,20;12,89;6,29;204,19;2014;mars
2014-04;29,19;151,60;12,86;6,04;199,69;2014;avril
2014-05;29,61;87,33;13,08;6,45;136,47;2014;mai
2014-06;31,02;135,36;11,27;7,76;185,41;2014;juin
2014-07;28,40;161,91;12,47;7,56;210,33;2014;juill
2014-08;28,46;164,61;11,86;7,68;212,62;2014;aout
2014-09;28,07;119,20;11,01;8,06;166,34;2014;sept
2014-10;29,33;157,78;11,06;7,90;206,06;2014;oct
2014-11;28,71;136,13;11,29;8,50;184,63;2014;nov
2014-12;29,48;144,69;14,92;8,83;197,92;2014;dec
2015-01;29,9;145,3;13,8;9,0;198,06;2015;janv
2015-02;23,5;128,3;10,9;8,6;171,30;2015;fev
2015-03;29,6;124,4;11,3;11,0;176,30;2015;mars
2015-04;28,1;120,3;11,5;9,7;169,63;2015;avril
2015-05;25,7;150,2;9,9;9,3;195,08;2015;mai
2015-06;26,0;146,4;4,4;8,5;185,27;2015;juin
2015-07;26,3;146,0;7,3;7,2;186,78;2015;juill
2015-08;27,4;154,0;16,2;7,6;205,17;2015;aout
2015-09;26,1;142,6;16,6;6,7;192,00;2015;sept
2015-10;25,3;116,4;16,3;6,7;164,62;2015;oct
2015-11;25,1;132,7;15,8;8,8;182,41;2015;nov
2015-12;28,4;149,9;17,1;9,1;204,54;2015;dec
2016-01;28,1;140,0;15,6;8,59;192,32;2016;janv
2016-02;25,6;100,1;15,5;7,31;148,44;2016;fev
2016-03;27,9;71,5;15,4;6,90;121,65;2016;mars
2016-04;27,0;132,8;14,2;7,04;181,03;2016;avril
2016-05;28,9;85,9;14,0;3,56;132,38;2016;mai
2016-06;27,5;124,4;13,4;2,39;167,79;2016;juin
2016-07;27,1;127,3;13,0;1,97;169,39;2016;juill
2016-08;28,7;123,5;13,0;1,89;167,09;2016;aout
2016-09;27,9;118,5;13,0;1,17;160,52;2016;sept
2016-10;27,4;132,1;12,9;1,91;174,41;2016;oct
2016-11;27,6;135,5;12,0;7,87;182,99;2016;nov
2016-12;30,2;117,7;12,2;11,24;171,27;2016;dec
2017-01;30,4;113,4;11,5;10,76;166,01;2017;janv
2017-02;21,3;102,4;10,6;9,49;143,85;2017;fev
2017-03;28,7;102,3;11,8;9,03;151,82;2017;mars
2017-04;28,2;104,4;10,7;7,80;151,08;2017;avril
2017-05;26,5;112,2;4,9;7,32;150,98;2017;mai
2017-06;14,9;129,4;0,0;6,06;150,35;2017;juin
2017-07;11,6;133,9;0,0;4,99;150,52;2017;juill
2017-08;5,7;128,5;1,2;4,82;140,16;2017;aout
2017-09;24,8;122,8;13,0;4,03;164,64;2017;sept
2017-10;26,2;107,0;12,3;4,19;149,70;2017;oct
2017-11;29,5;115,8;13,5;4,27;163,04;2017;nov
2017-12;30,87;120,366;12,888;3,99;168,11;2017;dec
2018-01;30,67;125,75;12,89;6,11;175,42;2018;janv
2018-02;27,77;108,27;7,64;6,89;150,57;2018;fev
2018-03;29,21;111,71;14,53;7,18;162,63;2018;mars
2018-04;29,79;88,68;11,45;5,82;135,74;2018;avril
2018-05;28,19;104,56;11,16;5,19;149,10;2018;mai
2018-06;29,05;104,96;11,09;4,09;149,19;2018;juin
2018-07;28,17;105,43;10,50;3,15;147,25;2018;juill
2018-08;28,19;113,72;9,77;2,45;154,13;2018;aout
2018-09;28,04;94,38;9,53;2,03;133,98;2018;sept
2018-10;21,17;102,82;9,28;1,99;135,26;2018;oct
2018-11;21,92;95,73;8,41;1,73;127,79;2018;nov
2018-12;29,92;101,00;9,80;1,46;142,18;2018;dec
2019-01;28,95;100,60;9,24;0,70;139,49;2019;janv
2019-02;20,97;92,53;7,79;0,70;121,99;2019;févr
2019-03;30,69;105,43;8,15;0,42;144,69;2019;mars
2019-04;27,22;91,35;7,84;0,55;126,96;2019;avril
2019-05;26,76;104,98;7,26;0,95;139,95;2019;mai
2019-06;22,32;99,10;8,38;0,66;130,46;2019;juin
2019-07;23,82;101,33;7,23;1,10;133,48;2019;juill
2019-08;24,73;98,14;10,26;0,80;133,93;2019;aout
2019-09;22,08;98,98;8,40;0,71;130,17;2019;sept
2019-10;23,25;92,48;10,14;0,29;126,16;2019;oct
2019-11;21,89;67,39;9,50;1,19;99,97;2019;nov
2019-12;23,54;95,97;6,62;2,01;128,14;2019;dec
