Date;Redevance perçue en nature, en ktep;Redevance rétrocédée et perçue en espèce, en ktep;Redevance Totale, en ktep
1 / 2005;45,95;64,96;110,91
2 / 2005;71;27,43;98,43
3 / 2005;52,39;61,65;114,04
4 / 2005;49,11;58,25;107,36
5 / 2005;60,34;46,96;107,3
6 / 2005;76,09;14,57;90,66
7 / 2005;77,27;7,26;84,53
8 / 2005;29,43;30,33;59,76
9 / 2005;51,39;33,94;85,33
10 / 2005;53,45;34,84;88,29
11 / 2005;40,22;62,37;102,59
12 / 2005;47,28;64,79;112,07
1 / 2006;89,29;25,98;115,27
2 / 2006;70,56;31,68;102,24
3 / 2006;75,1;38,21;113,31
4 / 2006;65,27;39,01;104,28
5 / 2006;88,55;0;88,45
6 / 2006;82,7;5,98;88,68
7 / 2006;77,26;16,69;93,95
8 / 2006;73,97;10;83,97
9 / 2006;71,61;10,26;81,87
10 / 2006;79,68;-3,04;76,64
11 / 2006;48,18;46,23;94,41
12 / 2006;75,58;34,88;110,46
1 / 2007;74,04;38,73;112,77
2 / 2007;76,71;17,25;93,96
3 / 2007;75,4;30,34;105,74
4 / 2007;59,9;30,06;89,96
5 / 2007;71,78;3,19;74,97
6 / 2007;61,66;11,97;73,63
7 / 2007;70,11;3,54;73,65
8 / 2007;47,28;5,44;52,72
9 / 2007;68,1;14,98;83,08
10 / 2007;73,38;4,15;77,53
11 / 2007;82,78;9,63;92,41
12 / 2007;83,76;28,74;112,5
1 / 2008;97,05;10,62;107,67
2 / 2008;99,08;1,35;100,43
3 / 2008;91,95;9,18;101,13
4 / 2008;81,91;0,36;82,27
5 / 2008;87,57;-0,27;87,3
6 / 2008;81,7;10,26;91,96
7 / 2008;60,32;34,02;94,34
8 / 2008;52,89;10,8;63,69
9 / 2008;33,44;51,84;85,28
10 / 2008;57,15;35,19;92,34
11 / 2008;78,54;7,21;85,75
12 / 2008;77,93;31,49;109,42
1 / 2009;78,55;36,34;114,89
2 / 2009;83,39;19,9;103,29
3 / 2009;65,03;28,13;93,16
4 / 2009;49,02;50,19;99,21
5 / 2009;52,7;4,85;57,55
6 / 2009;50,49;17,61;68,1
7 / 2009;61,09;12,88;73,97
8 / 2009;35,4;15,23;50,63
9 / 2009;48,05;15,32;63,37
10 / 2009;38,87;14,4;53,27
11 / 2009;60,97;31,78;92,75
12 / 2009;93,75;-34,09;59,66
1 / 2010;81,98;43,77;125,75
2 / 2010;66,3;45,24;111,54
3 / 2010;41,31;79,62;120,93
4 / 2010;51,51;40,61;92,12
5 / 2010;55,83;25,73;81,56
6 / 2010;36,19;47,52;83,71
7 / 2010;52,8;41,83;94,63
8 / 2010;44,5;21,65;66,15
9 / 2010;25,16;64,66;89,82
10 / 2010;69,52;26,25;95,77
11 / 2010;87,45;11,09;98,54
12 / 2010;93,26;21,04;114,3
1 / 2011;89,07;27,2;116,27
2 / 2011;76,05;26,43;102,48
3 / 2011;62;70,16;132,16
4 / 2011;51,18;10,01;61,19
5 / 2011;47,84;37,68;85,52
6 / 2011;70,39;20,81;91,2
7 / 2011;53,4;21,35;74,75
8 / 2011;40,66;19,5;60,16
9 / 2011;41,79;20,6;62,39
10 / 2011;44,48;10,69;55,17
11 / 2011;46,63;8,24;54,87
12 / 2011;47,67;15,61;63,28
1 / 2012;98,55;8,92;107,47
2 / 2012;90,21;17,93;108,14
3 / 2012;80,85;8,99;89,84
4 / 2012;60,6;32,06;92,66
5 / 2012;55,66;26,59;82,25
6 / 2012;47,36;21,07;68,43
7 / 2012;60,28;7,4;67,68
8 / 2012;33,35;10,46;43,81
9 / 2012;28,98;7,74;36,72
10 / 2012;45,17;9,76;54,93
11 / 2012;57,76;15,39;73,15
12 / 2012;77,89;21,4;99,29
1 / 2013;92,22;8,58;100,8
2 / 2013;82,4;0,01;82,41
3 / 2013;47,05;24,78;71,83
4 / 2013;22,77;4,51;27,28
5 / 2013;20,8;5,83;26,63
6 / 2013;20,3;4,73;25,03
7 / 2013;26,92;5,25;32,17
8 / 2013;16,83;5,41;22,24
9 / 2013;13,7;3,09;16,79
10 / 2013;43,62;7,07;50,69
11 / 2013;41,16;9,14;50,3
12 / 2013;49,22;3,25;52,47
1 / 2014;38,5;1,6;40,1
2 / 2014;31,18;1,73;32,91
3 / 2014;22,27;2,08;24,35
4 / 2014;29,32;5,5;34,82
5 / 2014;32,94;3,69;36,63
