Month;VENTE LOCALE (Mille Tonnes);;
31/01/2014;315;;
28/02/2014;354;;
31/03/2014;305;;
30/04/2014;427;;
31/05/2014;386;;
30/06/2014;404;;
31/07/2014;315;;
31/08/2014;387;;
30/09/2014;260;;
31/10/2014;330;;
30/11/2014;271;;
31/12/2014;252;;
31/01/2015;160;;
28/02/2015;213;;
31/03/2015;294;;
30/04/2015;195;;
31/05/2015;8;;
30/06/2015;70;;
31/07/2015;311;;
31/08/2015;390;;
30/09/2015;338;;
31/10/2015;405;;
30/11/2015;375;;
31/12/2015;465;;
31/01/2016;306;;
28/02/2016;218;;
31/03/2016;433;;
30/04/2016;379;;
31/05/2016;302;;
30/06/2016;220;;
31/07/2016;232;;
31/08/2016;239;;
30/09/2016;236;;
31/10/2016;307;;
30/11/2016;250;;
31/12/2016;271;;
31/01/2017;413;;
28/02/2017;665;;
31/03/2017;0;;
30/04/2017;236;;
31/05/2017;230;;
30/06/2017;224;;
31/07/2017;299;;
31/08/2016;307;;
30/09/2017;293;;
31/10/2017;250;;
30/11/2017;271;;
31/12/2017;242;;
31/01/2018;217;;
28/02/2018;702;;
31/03/2018;0;;
30/04/2018;0;;
31/05/2018;246;;
30/06/2018;209;;
31/07/2018;246;;
31/08/2018;289;;
30/09/2018;321;;
31/10/2018;329;;
30/11/2018;288;;
31/12/2018;162;;
31/01/2019;256;;
28/02/2019;232;;
31/03/2019;149;;
30/04/2019;222;;
31/05/2019;336;;
30/06/2019;310;;
31/07/2019;205;;
31/08/2019;245;;
30/09/2019;182;;
31/10/2019;260;;
30/11/2019;373;;
31/12/2019;378;;
31/01/2020;312;;
28/02/2020;250;;
31/03/2020;211;;
30/04/2020;287;;
31/05/2020;282;;
30/06/2020;103;;
31/07/2020;17;;
31/08/2020;271;;
30/09/2020;133;;
31/10/2020;226;;
30/11/2020;228;;
31/12/2020;1;;
;;;
;;;
