Bibliothèques,Nb_fond_livre_2021,Nb_Adherents_2021,Nb_Lecteurs_2021,Nb_Emprunteurs_2021,Nb_fond_livre_2022,Nb_Adherents_2022,Nb_Lecteurs_2022,Nb_Emprunteurs_2022,Nb_fond_livre_2023,Nb_Adherents_2023,Nb_Lecteurs_ 2023,Nb_Emprunteurs_2023,Nb_fond_livre_2024,Nb_Adherents_2024,Nb_Lecteurs_2024,Nb_Emprunteurs_2024
Bibliothèque régionale Sousse,0,0,0,0,0,0,0,0,39694,1462,5963,1227,39694,1329,9902,2276
Bibliothèque public sahloul,18075,931,4860,1202,17625,1298,12740,1361,18461,1102,10407,1705,17625,369,8080,886
Bibliothèque public k kbira,12295,107,2337,275,12362,3102,27,309,12492,156,3414,324,5552,68,422,64
Bibliothèque public k kbira (enf),15754,126,1891,822,15913,257,1412,2027,15956,247,1418,1862,18051,1499,538,937
Bibliothèque public akouda ,14454,225,1083,1180,15113,398,2271,1790,15071,624,4080,2411,15755,283,1763,1792
Bibliothèque public hergla,1348,98,4194,5400,13879,144,8830,4211,13796,155,8634,4575,13805,31,5061,1864
Bibliothèque public sidi bou ali ,8862,173,1018,576,9548,100,943,446,9931,275,2377,731,10265,103,1665,336
Bibliothèque public nfidha,11169,2156,10470,2650,11360,225,10220,2420,11874,309,8113,2713,11874,125,3303,977
Bibliothèque public kondar,7127,6,515,0,10577,0,0,0,11398,231,5545,456,11398,53,946,79
Bibliothèque public bouficha ,8993,69,2626,131,9424,121,3435,373,9519,474,2572,647,9519,217,436,2480
Bibliothèque public zaouiet sousse ,12890,206,3069,883,12843,236,5515,236,12842,215,5143,1272,12842,226,3932,1946
Bibliothèque public ksibet sousse ,12549,105,544,578,7063,30,371,208,7857,56,544,63,10380,51,477,221
Bibliothèque public zouhour ,4020,0,2638,0,4865,0,4858,0,4877,0,0,5795,4877,0,3117,0
Bibliothèque public msaken ,41677,1836,7136,2810,42910,1199,7868,4414,42061,0,0,0,42830,105,1564,356
Bibliothèque public massadine,10141,68,1155,610,10142,53,955,602,12111,39,535,257,12111,36,853,667
Bibliothèque public k sghira ,13903,243,2083,470,14492,383,5236,884,15578,466,5991,902,19406,192,3254,434
Bibliothèque public cité matar ,0,0,0,0,9487,117,1158,282,9570,200,1589,327,0,0,0,0
Bibliothèque public hadrumet,5045,44,1090,125,5162,53,3922,495,5180,35,3295,228,5180,42,1220,70
Bibliothèque public hamam sousse ,4027,73,1497,271,3396,235,2114,436,4027,155,3356,372,3824,57,1435,216
Bibliothèque public nfidha (enf) ,1567,153,1807,0,1567,162,579,0,4554,94,2924,236,4554,55,1352,886
Bib pub msaken mahata (ouvert en 2024),0,0,0,0,0,0,0,0,0,0,0,0,839,0,0,0
Bib pub knayes (ouvert en 2024),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
