Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tunisia,TUN,2022,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,110.740734927371
Tunisia,TUN,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,110.319806252816
Tunisia,TUN,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,100.577963621517
Tunisia,TUN,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,34.3912956024417
Tunisia,TUN,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,34.4619533241307
Tunisia,TUN,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,21.0256664164375
Tunisia,TUN,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,26.9071236703051
Tunisia,TUN,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,30.6087138097368
Tunisia,TUN,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,17.1037495680545
Tunisia,TUN,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,13.5388371465768
Tunisia,TUN,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,19.754887797071
Tunisia,TUN,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,26.2851818263105
Tunisia,TUN,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,10.1276666887625
Tunisia,TUN,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.6211766794459
Tunisia,TUN,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,9.47354713214867
Tunisia,TUN,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.6912100179855
Tunisia,TUN,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,10.7634412614205
Tunisia,TUN,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,10.6089453413202
Tunisia,TUN,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,9.31424719215918
Tunisia,TUN,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,8.19184236173084
Tunisia,TUN,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,7.97695835246467
Tunisia,TUN,2001,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,8.6333419666753
Tunisia,TUN,2000,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,9.77602108036891
Tunisia,TUN,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,10.0089206066012
Tunisia,TUN,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.2960611171743
Tunisia,TUN,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.1751765659372
Tunisia,TUN,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,9.58630640602455
Tunisia,TUN,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,8.05730101344104
Tunisia,TUN,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,9.99775331386205
Tunisia,TUN,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.3476864517664
Tunisia,TUN,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.5862213496283
Tunisia,TUN,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.6599858523933
Tunisia,TUN,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,9.69334821418256
Tunisia,TUN,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,10.7587792468647
Tunisia,TUN,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,10.72711407804
Tunisia,TUN,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,11.6375061469619
Tunisia,TUN,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,12.2091910976098
Tunisia,TUN,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,14.0217162057003
Tunisia,TUN,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,14.3868209534821
Tunisia,TUN,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,12.7507622914432
Tunisia,TUN,1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,15.605543783817
Tunisia,TUN,1981,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,15.4635944700461
